id;fullName;country;Rufnummer;Mobile;FAX;e-mai;Organization;Function;FOTO
112748;Biljana BORZAN;Kroatien;01112748;0667112748;0111274833;biljana.borzan@erste.com;Erste & Steiermärkische Bank d.d.;Front Office;https://www.europarl.europa.eu/mepphoto/112748.jpg
197419;Valter FLEGO;Kroatien;01197419;0667197419;0119741933;valter.flego@erste.com;Erste & Steiermärkische Bank d.d.;Front Office;https://www.europarl.europa.eu/mepphoto/197419.jpg
202036;Sunčana GLAVAK;Kroatien;01202036;0667202036;0120203633;sunčana.glavak@erste.com;Erste & Steiermärkische Bank d.d.;Front Office;https://www.europarl.europa.eu/mepphoto/202036.jpg
221463;Ladislav ILČIĆ;Kroatien;01221463;0667221463;0122146333;ladislav.ilčić@erste.com;Erste & Steiermärkische Bank d.d.;Front Office;https://www.europarl.europa.eu/mepphoto/221463.jpg
112747;Romana JERKOVIĆ;Kroatien;01112747;0667112747;0111274733;romana.jerković@erste.com;Erste & Steiermärkische Bank d.d.;Front Office;https://www.europarl.europa.eu/mepphoto/112747.jpg
197438;Mislav KOLAKUŠIĆ;Kroatien;01197438;0667197438;0119743833;mislav.kolakušić@erste.com;Erste & Steiermärkische Bank d.d.;Front Office;https://www.europarl.europa.eu/mepphoto/197438.jpg
197441;Predrag Fred MATIĆ;Kroatien;01197441;0667197441;0119744133;predrag.fred matić@erste.com;Erste & Steiermärkische Bank d.d.;Front Office;https://www.europarl.europa.eu/mepphoto/197441.jpg
112744;Tonino PICULA;Kroatien;01112744;0667112744;0111274433;tonino.picula@erste.com;Erste & Steiermärkische Bank d.d.;Front Office;https://www.europarl.europa.eu/mepphoto/112744.jpg
197413;Karlo RESSLER;Kroatien;01197413;0667197413;0119741333;karlo.ressler@erste.com;Erste & Steiermärkische Bank d.d.;Back Office;https://www.europarl.europa.eu/mepphoto/197413.jpg
197935;Ivan Vilibor SINČIĆ;Kroatien;01197935;0667197935;0119793533;ivan.vilibor sinčić@erste.com;Erste & Steiermärkische Bank d.d.;Legal;https://www.europarl.europa.eu/mepphoto/197935.jpg
197417;Tomislav SOKOL;Kroatien;01197417;0667197417;0119741733;tomislav.sokol@erste.com;Erste & Steiermärkische Bank d.d.;Legal;https://www.europarl.europa.eu/mepphoto/197417.jpg
185341;Željana ZOVKO;Kroatien;01185341;0667185341;0118534133;željana.zovko@erste.com;Erste & Steiermärkische Bank d.d.;C-Level;https://www.europarl.europa.eu/mepphoto/185341.jpg
