id;fullName;country;Rufnummer;Mobile;FAX;e-mai;Organization;Function;FOTO
197587;Attila ARA-KOVÁCS;Ungarn;01197587;0667197587;0119758733;attila.ara-kovács@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/197587.jpg
124712;Andrea BOCSKOR;Ungarn;01124712;0667124712;0112471233;andrea.bocskor@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/124712.jpg
197588;Katalin CSEH;Ungarn;01197588;0667197588;0119758833;katalin.cseh@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/197588.jpg
124714;Andor DELI;Ungarn;01124714;0667124714;0112471433;andor.deli@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/124714.jpg
96826;Tamás DEUTSCH;Ungarn;0196826;066796826;019682633;tamás.deutsch@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/96826.jpg
197579;Klára DOBREV;Ungarn;01197579;0667197579;0119757933;klára.dobrev@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/197579.jpg
197595;Anna Júlia DONÁTH;Ungarn;01197595;0667197595;0119759533;anna.júlia donáth@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/197595.jpg
28150;Kinga GÁL;Ungarn;0128150;066728150;012815033;kinga.gál@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/28150.jpg
198063;Márton GYÖNGYÖSI;Ungarn;01198063;0667198063;0119806333;márton.gyöngyösi@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/198063.jpg
96830;Enikő GYŐRI;Ungarn;0196830;066796830;019683033;enikő.győri@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/96830.jpg
23816;András GYÜRK;Ungarn;0123816;066723816;012381633;andrás.gyürk@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/23816.jpg
124586;Balázs HIDVÉGHI;Ungarn;01124586;0667124586;0112458633;balázs.hidvéghi@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/124586.jpg
124715;György HÖLVÉNYI;Ungarn;01124715;0667124715;0112471533;györgy.hölvényi@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/124715.jpg
28141;Lívia JÁRÓKA;Ungarn;0128141;066728141;012814133;lívia.járóka@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/28141.jpg
96829;Ádám KÓSA;Ungarn;0196829;066796829;019682933;ádám.kósa@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/96829.jpg
124722;Csaba MOLNÁR;Ungarn;01124722;0667124722;0112472233;csaba.molnár@erste.com;Erste Bank Hungary Zrt.;Front Office;https://www.europarl.europa.eu/mepphoto/124722.jpg
197584;Sándor RÓNAI;Ungarn;01197584;0667197584;0119758433;sándor.rónai@erste.com;Erste Bank Hungary Zrt.;Back Office;https://www.europarl.europa.eu/mepphoto/197584.jpg
213330;Ernő SCHALLER-BAROSS;Ungarn;01213330;0667213330;0121333033;ernő.schaller-baross@erste.com;Erste Bank Hungary Zrt.;Legal;https://www.europarl.europa.eu/mepphoto/213330.jpg
27714;Edina TÓTH;Ungarn;0127714;066727714;012771433;edina.tóth@erste.com;Erste Bank Hungary Zrt.;Legal;https://www.europarl.europa.eu/mepphoto/27714.jpg
197894;László TRÓCSÁNYI;Ungarn;01197894;0667197894;0119789433;lászló.trócsányi@erste.com;Erste Bank Hungary Zrt.;Legal;https://www.europarl.europa.eu/mepphoto/197894.jpg
124705;István UJHELYI;Ungarn;01124705;0667124705;0112470533;istván.ujhelyi@erste.com;Erste Bank Hungary Zrt.;Legal;https://www.europarl.europa.eu/mepphoto/124705.jpg
